epoch,train_loss,val_loss
1,0.007405,0.007197
2,0.006993,0.007155
3,0.006971,0.007135
4,0.006956,0.007129
5,0.006960,0.007155
6,0.006948,0.007112
7,0.006933,0.007142
8,0.006930,0.007138
9,0.006921,0.007138
10,0.006918,0.007149
11,0.006917,0.007159
12,0.006907,0.007163
13,0.006898,0.007190
14,0.006900,0.007154
15,0.006903,0.007233
16,0.006893,0.007181
17,0.006886,0.007199
18,0.006883,0.007195
19,0.006886,0.007176
20,0.006881,0.007187
21,0.006873,0.007181
22,0.006873,0.007204
23,0.006866,0.007178
24,0.006865,0.007311
25,0.006860,0.007207
26,0.006861,0.007190
27,0.006850,0.007231
28,0.006851,0.007154
29,0.006850,0.007229
30,0.006850,0.007279
31,0.006852,0.007191
32,0.006845,0.007213
33,0.006844,0.007271
34,0.006837,0.007239
35,0.006840,0.007215
36,0.006825,0.007216
37,0.006820,0.007301
38,0.006820,0.007250
39,0.006815,0.007291
40,0.006825,0.007366
41,0.006814,0.007263
42,0.006813,0.007277
43,0.006806,0.007407
44,0.006809,0.007261
45,0.006809,0.007285
46,0.006812,0.007377
47,0.006819,0.007358
48,0.006799,0.007323
49,0.006800,0.007298
50,0.006800,0.007274
51,0.006797,0.007332
52,0.006791,0.007254
53,0.006796,0.007258
54,0.006790,0.007243
55,0.006789,0.007252
56,0.006793,0.007288
57,0.006785,0.007308
58,0.006782,0.007273
59,0.006782,0.007232
60,0.006807,0.007330
61,0.006780,0.007426
62,0.006774,0.007291
63,0.006780,0.007347
64,0.006775,0.007280
65,0.006774,0.007299
66,0.006772,0.007365
67,0.006775,0.007365
68,0.006767,0.007326
69,0.006776,0.007244
70,0.006768,0.007285
71,0.006766,0.007463
72,0.006830,0.007445
73,0.006759,0.007315
74,0.006757,0.007335
75,0.006761,0.007372
76,0.006763,0.007604
77,0.006762,0.007359
78,0.006746,0.007476
79,0.006752,0.007727
80,0.006750,0.007303
81,0.006755,0.007314
82,0.006742,0.007301
83,0.006750,0.007405
84,0.006746,0.007435
85,0.006751,0.007447
86,0.006743,0.007456
87,0.006743,0.007315
88,0.006751,0.007411
89,0.006756,0.007520
90,0.006746,0.007413
91,0.006753,0.007405
92,0.006746,0.007346
93,0.006741,0.007353
94,0.006747,0.007345
95,0.006743,0.007362
96,0.006743,0.007424
97,0.006727,0.007310
98,0.006741,0.007386
99,0.006739,0.007395
100,0.006737,0.007435
